ID;Title*;DOI;Database;Authors;Title;Year;Published In;Abstract;Keywords;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;A Review on Cloud Manufacturing Technologies of Industry 4.0;10.1007/978-981-16-7660-4_27;Springer, Singapore;"Shah, Vrund; Vora, Jay; Patel, Smit; Chaudhari, Rakesh";A Review on Cloud Manufacturing Technologies of Industry 4.0;2022;Recent Advances in Mechanical Infrastructure;"The concept of cloud manufacturing was introduced in 2010; however, its significance is getting noticed in recent years. It is being looked at as a new manufacturing paradigm that would help in shifting the approach of the manufacturing industry from being production-oriented to being service-oriented. Although research has been carried out in this field still, there is a lack of understanding of basic concepts, key characteristics, and their relationship with other technologies. In the current study, an attempt has been made to clarify the understanding of the people regarding the aforementioned issues. Also, because its implementation in the industrywill be challenging, the key issues and factors influencing its implementation have been discussed in depth.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Balanced Scorecard as the Basis for Global Container Shipping Line IT-Architecture Modeling;10.1007/978-3-030-81619-3_62;Springer, Cham;"Maydanova, Svetlana; Ilin, Igor; Kersten, Wolfgang; Jahn, Carlos; Weigell, Jürgen";Balanced Scorecard as the Basis for Global Container Shipping Line IT-Architecture Modeling;2022;"XIV International Scientific Conference “INTERAGROMASH 2021""";Companies in the container liner shipping industry actively introduce digital technologies, which have a significant impact on all business aspects of a company. New technologies could become drivers for new business models. The digital transformation requires changes ofcompany IT-architectures, cultures, and organizational frameworks. Monitoring and planning digital transformation processes require amethod that allows evaluating the changes in the company’s ITarchitecture in the context of their compliance with the company’s strategic goals. The Balanced Scorecard normally is used as a tool for the strategy implementation assessment. This article proposes the Balanced Scorecard application to measure and plan IT-architecture changes, using it as the basis for the company’s digital twin. This tool could provide substantial support for global container shipping line digital transformation planning and monitoring. For the purpose of current study, the authors use the multi-level matrix comparing and linking indicators and IT-architecture models of the global container shipping line.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Concept for Rule-Based Information Aggregation in Modular Production Plants;10.1007/978-3-662-64283-2_6;Springer Vieweg, Berlin, Heidelberg;"Geng, Christoph; Moriz, Natalia; Bunte, Andreas; Trsek, Henning";Concept for Rule-Based Information Aggregation in Modular Production Plants;2022;Kommunikation und Bildverarbeitung in der Automation;In the context of Industrie 4.0, (Self-)adapting Cyber-Physical Production Systems (CPPS) offer a solution for production facilities to adapt to changing market requirements. The operation of a CPPS requires information of the entire plant at any time, which can usually be derived by aggregating the individual information of the production modules of a CPPS (information models). Even if the information models are designed following standardized guidelines, the aggregation of these individual information models often needs to be done manually, which requires a lot of effort and is error prone. To achieve an automated information aggregation, this paper presents a novel concept for modular production plants. The main aspect of the concept is the use of a Rule Engine for the processing of information models in order to create aggregated plant information. This Rule Engine uses a classification method for plant components in order to enable standardization. The challenge of this work is to design a Rule Engine that is suitable for different aspects of CPPS.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Energy consumption dynamic prediction for HVAC systems based on feature clustering deconstruction and model training adaptation;10.1007/s12273-024-1152-3;"Springer; Tsinghua University Press";"Liu, Huiheng; Liu, Yanchen; Huang, Huakun; Wu, Huijun; Huang, Yu";Energy consumption dynamic prediction for HVAC systems based on feature clustering deconstruction and model training adaptation;2024;Build. Simul. (Building Simulation);The prediction of building energy consumption offers essential technical support for intelligent operation and maintenance of buildings, promoting energy conservation and low-carbon control. This paper focused on the energy consumption of heating, ventilation and air conditioning (HVAC) systems operating under various modes across different seasons. We constructed multi-attribute and high-dimensional clustering vectors that encompass indoor and outdoor environmental parameters, along with historical energy consumption data. To enhance the K-means algorithm, we employed statistical feature extraction and dimensional normalization (SFEDN) to facilitate data clustering and deconstruction. This method, combined with the gated recurrent unit (GRU) prediction model employing adaptive training based on the Particle Swarm Optimization algorithm, was evaluated for robustness and stability through k-fold cross-validation. Within the clustering-based modeling framework, optimal submodels were configured based on the statistical features of historical 24-hour data to achieve dynamic prediction using multiple models. The dynamic prediction models with SFEDN cluster showed a 11.9% reduction in root mean square error (RMSE) compared to static prediction, achieving a coefficient of determination (R2) of 0.890 and a mean absolute percentage error (MAPE) reduction of 19.9%. When compared to dynamic prediction based on single-attribute of HVAC systems energy consumption clustering modeling, RMSE decreased by 12.6%, R2 increased by 4.0%, and MAPE decreased by 26.3%. The dynamic prediction performance demonstrated that the SFEDN clustering method surpasses conventional clustering method, and multi-attribute clustering modeling outperforms single-attribute modeling.;HVAC system energy consumption, clustering analysis, deep learning, model adaptation, dynamic prediction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Recovering from a Deep Stall in a Fighter Jet: A Practical Survey;10.1007/s42405-025-00898-7;"Springer; The Korean Society for Aeronautical & Space Sciences (KSAS)";Kim, Chongsup;Recovering from a Deep Stall in a Fighter Jet: A Practical Survey;2025;Int. J. Aeronaut. Space Sci. (International Journal of Aeronautical and Space Sciences);With the advent of the first generation of relaxed static stability (RSS) aircraft, such as the YF-16, the deep stall associated with the extremely demanding stability and control problems in the high angle-of-attack (AoA) flight envelope has become a significant issue. These problems can be entirely avoided by designing an aircraft with sufficient nose-down control capability. However, this approach leads to more complex aircraft design challenges, as they are related to the aircraft’s supersonic performance and its ability to maneuver at low speeds. This paper reviews the aircraft design issues and lessons learned for recovery from deep stalls in fighter aircraft designed with RSS configuration concepts by surveying published materials. The results of this review will benefit a wide audience, from students studying aircraft design at universities to engineers working for aerospace companies, by enhancing their understanding of deep stall characteristics in aircraft. Additionally, the design considerations for deep stall prevention and recovery, based on industrial development experience and lessons learned, are expected to reduce the amount of trial and error that occurs during the aircraft development process.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Distributed computing in multi-agent systems: a survey of decentralized machine learning approaches;10.1007/s00607-024-01356-0;"Springer; Springer Vienna";"Ahmed, Ijaz; Syed, Miswar Akhtar; Maaruf, Muhammad; Khalid, Muhammad";Distributed computing in multi-agent systems: a survey of decentralized machine learning approaches;2025;Computing (Computing);"At present, there is a pressing need for data scientists and academic researchers to devise advanced machine learning and artificial intelligence-driven systems that can effectively tackle forthcoming security challenges. This is due to the rapid advancement in processing capabilities of distributed client devices, as well as mounting apprehensions about the exposure of sensitive user data. This particular methodology renders the constituents of a decentralized machine learning paradigm private and allocates them to a diverse array of remote client apparatuses. Following this, a primary controller clusters the extracted machine learning data. This process effectively transforms a centrally controlled machine learning procedure into a distributed one, leading to significant potential benefits. Regrettably, the implementation of a progressive strategy for networked machine learning poses additional obstacles to the preservation of user data confidentiality and cyber-security apprehensions. The present endeavor aims to scrutinize the plausible hazards that decentralized machine learning may engender for the security and confidentiality of user data, as well as their well-being, through the lens of data transmission thresholds. These risks are contingent upon the salient stages of a machine learning model. The aforementioned procedures include: (i) establishing thresholds for raw data prior to processing; (ii) establishing thresholds for the learning framework; (iii) establishing thresholds for the obtained information; and (iv) establishing thresholds for the provisional outcome. We conducted a comprehensive analysis of state-of-the-art hacking methodologies, evaluating their potential vulnerabilities at every stage of the transaction, and subsequently deliberated on practical solutions to address these issues. Ultimately, the survey culminates in an exposition of the obstacles and prospects that confront researchers in this intricate realm.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Unraveling the code: an in-depth empirical study on the impact of development practices in auxiliary functions implementation;10.1007/s11219-024-09682-4;"Springer; Springer US";"Lemos, Otávio; Silveira, Fábio; Ferrari, Fabiano; Silva, Tiago; Guerra, Eduardo; Garcia, Alessandro";Unraveling the code: an in-depth empirical study on the impact of development practices in auxiliary functions implementation;2024;Software Qual J (Software Quality Journal);Auxiliary functions in software systems, often overlooked due to their perceived simplicity, play a crucial role in overall system reliability. This study focuses on the effectiveness of agile practices, specifically the pair programming and the test-first programming practices. Despite the importance of these functions, there exists a dearth of empirical evidence on the impact of agile practices on their development, raising questions about their potential to enhance correctness without affecting time-to-market. This paper aims to bridge this gap by comparing the application of agile practices with traditional approaches in the context of auxiliary function development. We conducted six experiments involving 122 participants (85 novices and 37 professionals) who used both traditional and agile methods to develop six auxiliary functions across three different domains. Our analysis of 244 implementations suggests the potential benefits of agile practices in auxiliary function development. Pair programming showed a tendency towards improved correctness, while test-first programming did not significantly extend the total development time, particularly among professionals. However, these findings should be interpreted cautiously as they do not conclusively establish that agile practices outperform traditional approaches universally. As indicated by our results, the potential benefits of agile practices may vary depending on factors such as the programmer’s experience level and the nature of the functions being developed. Further research is needed to fully understand the contexts in which these practices can be most effectively applied and to address the potential limitations of our study.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Towards intelligent E-learning systems;10.1007/s10639-022-11479-6;"Springer; Springer US";"Liu, Mengchi; Yu, Dongmei";Towards intelligent E-learning systems;2022;Educ Inf Technol (Education and Information Technologies);The prevalence of e-learning systems has made educational resources more accessible, interactive and effective to learners without the geographic and temporal boundaries. However, as the number of users increases and the volume of data grows, current e-learning systems face some technical and pedagogical challenges. This paper provides a comprehensive review on the efforts of applying new information and communication technologies to improve e-learning services. We first systematically investigate current e-learning systems in terms of their classification, architecture, functions, challenges, and current trends. We then present a general architecture for big data based e-learning systems to meet the ever-growing demand for e-learning. We also describe how to use data generated in big data based e-learning systems to support more flexible and customized course delivery and personalized learning.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Smart home for enhanced healthcare: exploring human machine interface oriented digital twin model;10.1007/s11042-023-16875-9;"Springer; Springer US";"Shoukat, Muhammad Usman; Yan, Lirong; Zhang, Jiawen; Cheng, Yu; Raza, Muhammad Umair; Niaz, Ashfaq";Smart home for enhanced healthcare: exploring human machine interface oriented digital twin model;2024;Multimed Tools Appl (Multimedia Tools and Applications);Digital twin (DT) and other emerging technologies such as the Internet of Things (IoT), data mining, reinforcement learning, remote intelligent control, and machine learning offer enormous potential for transforming today’s equipment model into intelligent devices. It is one of the key technologies to endorse the virtual and remote intelligent control system for home-devices (HD) in human comfort (disabled/elderly). The relevant research is in the initial stage, and how to realize the DT of home-equipment control has become a vital problem to be solved. This study expounds on the suggestion and application of the DT model and summarizes the research and application progress from the aspect of the home-devices’ DT (HDDT) modeling. This modelling approach is three-staged: in terms of physical entities, virtual entities, and connectivity (data communication). The proposed model utilizes an interactive mechanism for the intelligent control of HD, by integrating DT and virtual simulation technologies to establish a human cyber-physical system (HCPS), specifically addressing the challenges associated with remote-control problems. The HCPS aims to achieve a deep integration and interface between the physical and virtual spaces of smart-device information. Using the game theory approach to create multi-physical entities and DT entities of IoT-based HD like washing machines, lamps, breakers, heaters, kitchen equipment, TV, AC, etc. The next step is to develop high-performance smart devices and build a reasonable sensing network to improve the depth and range of connection. The equipment tracking test showed that the system could control virtual reality synchronization, positional accuracy, and quality control for smart-devices development in HDDT modeling.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;SCAC: Smart Contract-Based Access Control in IoT;10.1007/s11277-024-11673-4;"Springer; Springer US";"Andalib, Abdolreza; Rezakhani, Afshin; Aski, Akbar Morshed; Rahmani, Parisa";SCAC: Smart Contract-Based Access Control in IoT;2024;Wireless Pers Commun (Wireless Personal Communications);With the rapid expansion of the Internet of Things (IoT), securing devices and the data they generate has become a critical priority. This paper proposes an access control model for IoT systems that utilizes blockchain technology to maintain a comprehensive record of devices and their authorized access permissions, with smart contracts regulating access to IoT devices. The model is organized across four layers: IoT smart devices, dew, fog, and cloud. To enable access control at both global and local levels, we combine fog computing with a distributed blockchain framework and enhance it using machine learning algorithms. The model was implemented using tools such as Ganache, MyEtherWallet, the Remix compiler, Solidity programming language, and Python for AI algorithms. We evaluated the proposed model on four datasets (Kaggle, UCI, and two randomly generated datasets), assessing its performance using metrics like accuracy and F1-score, and compared it with existing approaches. The results demonstrate that our model outperforms current methods, with the SVM algorithm achieving an accuracy of 98% and an F1-score of 99%.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;CNN-Based Similar Microwave Reflection Signals for Improved Detectability and Intelligent Characterization of Internal Defects in Composite Materials;10.1007/s10921-025-01163-3;"Springer; Springer US";"Gao, Mingyu; Huo, Liang; Wang, Fei; Song, Peng; Gao, Yulong; Yang, Guohui; Liu, Junyan; Liang, Zhipeng; Xie, Yunji; Song, Yinghao";CNN-Based Similar Microwave Reflection Signals for Improved Detectability and Intelligent Characterization of Internal Defects in Composite Materials;2025;J Nondestruct Eval (Journal of Nondestructive Evaluation);Near-field microwave imaging shows considerable promise for non-destructive evaluation of internal defects in high silica/phenolic composites, which are commonly used as thermal protection systems (TPS) for rocket/missile solid motor nozzles and space re-entry vehicles. However, effectively identifying defect features using post-processing algorithms remains challenging. To address this challenge, this paper proposes a microwave defect characterization algorithm based on Convolutional Neural Networks (CNN). A defect dataset derived from reflection microwave signals, was manually compiled by detecting samples with critical defects. The CNN framework was utilized for precise classification of microwave signals, employing a classification encoding strategy to extract two-dimensional defect information and achieve automatic localization and imaging of defects. Multiple deep learning models were compared in both simulations and experiments, revealing that the proposed CNN exhibited significant advantages in feature extraction, enabling highly effective identification of internal defects even with a limited dataset. Compared with traditional algorithms, the detection accuracy of the proposed 1D-SENet has been improved by 53.35% and 50.66%, respectively, and can achieve detection of defects with a minimum size of Φ6mm. These validate the effectiveness of algorithm in intelligent and automated microwave characterization of delamination defects within composite materials.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;A secured trusted routing using the structure of a novel directed acyclic graph-blockchain in mobile ad hoc network internet of things environment;10.1007/s11042-024-18845-1;"Springer; Springer US";"Ilakkiya, N.; Rajaram, A.";A secured trusted routing using the structure of a novel directed acyclic graph-blockchain in mobile ad hoc network internet of things environment;2024;Multimed Tools Appl (Multimedia Tools and Applications);In the contemporary technology context, several physical things may be used to support human activities. The Internet of Things is a cutting-edge technology solution that is used to link physical items with the digital world via a range of networks as well as communication technologies. The Internet of Things benefits from the smart settings in which mobile ad hoc networks (MANET) operate, making it more appealing to users and financially viable. Wireless sensors with MANETs may be integrated using the Internet of Things to develop new MANET-IoT devices and IT-based networks. Such a strategy lowers network deployment costs while increasing user mobility. That does, however, also bring up fresh, challenging issues about networking concerns. We introduced a new DAG-Blockchain architecture for MANET-IoT security in this study. The Multi-Factor PUF identification technique protects the network. Network topology is separated into clusters with all allowed nodes. We introduced the Secure Trust-based Dijikstra’s Method with numerous criteria for secure data transfer. We presented a Bi-Directional GRU for deep packet analysis. Deep packet inspection is used to identify intrusions, which are then blocked by a blocking mechanism. The suggested method achieved increased efficiency in the packet delivery ratio, productivity, time analysis, detection accuracy, and security level using the combination of algorithms. The numerical findings from the simulation and analysis of the proposed DAG-IDS in the WSN-IoT network reveal significant improvements across various performance metrics. Specifically, the DAG-IDS demonstrates enhanced network lifetime, achieving up to 220 cycles compared to 100 cycles in the BLOCKCHAIN method. The analysis also highlights superior packet delivery ratios (PDR) exceeding 90%, reduced delays, and efficient throughput, showcasing the effectiveness of the proposed approach in optimizing the network's quality of service, energy efficiency, and security.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;The new fuzzy bottleneck model to improve the axle manufacturing system performance;10.1007/s12008-023-01565-5;"Springer; Springer Paris";"Sarı, Hacı; İç, Yusuf Tansel";The new fuzzy bottleneck model to improve the axle manufacturing system performance;2024;Int J Interact Des Manuf (International Journal on Interactive Design and Manufacturing (IJIDeM));Axles are the crucial undercarriage part of vehicles and affect the total number of manufactured vehicles. Therefore, they are essential parts since they directly affect the production quantity. Some uncertainties arise in the lead times of the machining process in the manufacturing system due to the variability in factors, such as human, machine, and material properties. In this study, the efficiency of the axle manufacturing process is investigated, and performance in the machining unit of an automotive spare part manufacturer company is improved. This study aims to increase the production capacity of the company by using a fuzzy logic-based bottleneck analysis. In this study, a new model is proposed by integrating fuzzy logic the Solberg’s bottleneck model, and the performance of the manufacturing system is improved by applying the developed model in the machining unit of the company. At the end of the study, the increase in production rate and the benefit to the company is obtained.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Soft Manipulator for Soft Robotic Applications: a Review;10.1007/s10846-023-01877-4;"Springer; Springer Netherlands";"Sut, Dhruba Jyoti; Sethuramalingam, Prabhu";Soft Manipulator for Soft Robotic Applications: a Review;2023;J Intell Robot Syst (Journal of Intelligent & Robotic Systems);In the growing field of study known as “soft robotics,“ highly adaptable robots are built for soft interactions by utilizing the acquiescence, and flexibility of soft structures. The substantial advancement of soft grippers may be attributed to the growth of soft robotics, the investigation of various materials, and the creation of flexible electronics. The field of soft robotics does have the potential to have a substantial influence, among other applications, on the field of soft grippers and manipulators. Grippers of various varieties are necessary for handling various types of items, both hard and soft. It is crucial to adopt flexible and adaptive gripping tactics to get more item holding flexibility. Soft-robotic grasping systems that are extremely flexible in terms of workpiece shape, size, and structure are an ideal choice for increasing production flexibility. The major reason for the review is to learn about the existing soft gripper and the repeatability of existing soft-robotic grippers with large payload capacities. This article offers a thorough analysis of soft gripper recommendations, covering machine learning techniques along with physical theories, sensor technologies, actuation strategies, and device topologies. The potential effects of a soft robot manipulator for industry and the social economy are discussed as this essay comes to a close.;Soft robotics, Gripper, Manipulator, Bio inspiration, Machine learning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Scalable Motion Planning and Task-Oriented Coordination Scheme for Mobile Manipulators in Smart Manufacturing;10.1007/s10846-023-02005-y;"Springer; Springer Netherlands";"Yu, Tian; Chang, Qing";Scalable Motion Planning and Task-Oriented Coordination Scheme for Mobile Manipulators in Smart Manufacturing;2023;J Intell Robot Syst (Journal of Intelligent & Robotic Systems);In industry, mobile manipulators are commonly used to perform various tasks. However, current mobile manipulator motion planning still poses significant challenges due to the scalability of the manipulator motion planning, the non-holonomic nature of the mobile base, and the need to coordinate the motion of the manipulator and mobile base. Considering the accuracy disparity between the mobile base and manipulator, this paper proposes a joint space coordination scheme for mobile manipulators to improve the execution quality of the end-effector trajectory obtained by learning from demonstrations in the task space. Additionally, a task-oriented manipulability is developed to further enhance the execution accuracy. The results of extensive simulations are presented to show the effectiveness of the proposed method.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Online Capability Based Task Allocation of Cooperative Manipulators;10.1007/s10846-024-02050-1;"Springer; Springer Netherlands";"Patra, Keshab; Sinha, Arpita; Guha, Anirban";Online Capability Based Task Allocation of Cooperative Manipulators;2024;J Intell Robot Syst (Journal of Intelligent & Robotic Systems);The cooperative manipulator group can accomplish complex and heavy payload tasks of object manipulation and transportation compared to a single manipulator. Effective coordination is crucial for cooperative task accomplishments. Multi-manipulator task distribution is highly complex because of the varying dynamic capabilities of the manipulators. We have introduced a novel fastest technique to quantify the dynamic task capability of the cooperative manipulator by scalar quantity and allocate the task accordingly. The scalar quantity determines the capability of applying an external wrench by end effector (EE) in line with the required wrench at the center of mass of the manipulating object. This quantity helps to diminish tracking errors in object manipulations or transportation and actuator saturation avoidance. The task distribution among the members is in proportion to their computed dynamic capability to ensure equal priority to the individual manipulators. The proposed task distribution formulation ensures the minimum magnitude of wrench interaction at the grasp point and the minimum internal wrench build-up in the object. Several physical simulation results assure trajectory tracking performance with the proposed task capability metric. The same metric aids in identifying the least capable manipulator, rearranging members for better performance, and deciding the required number of manipulators in the manipulator group.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Intelligent energy management systems: a review;10.1007/s10462-023-10441-3;"Springer; Springer Netherlands";"Mischos, Stavros; Dalagdi, Eleanna; Vrakas, Dimitrios";Intelligent energy management systems: a review;2023;Artif Intell Rev (Artificial Intelligence Review);Climate change has become a major problem for humanity in the last two decades. One of the reasons that caused it, is our daily energy waste. People consume electricity in order to use home/work appliances and devices and also reach certain levels of comfort while working or being at home. However, even though the environmental impact of this behavior is not immediately observed, it leads to increased CO2 emissions coming from energy generation from power plants. It has been shown that about 40% of these emissions come from the electricity consumption and also that about 20% of this percentage could have been saved if we started using energy more efficiently. Confronting such a problem efficiently will affect both the environment and our society. Monitoring energy consumption in real-time, changing energy wastage behavior of occupants and using automations with incorporated energy savings scenarios, are ways to decrease global energy footprint. In this review, we study intelligent systems for energy management in residential, commercial and educational buildings, classifying them in two major categories depending on whether they provide direct or indirect control. The article also discusses what the strengths and weaknesses are, which optimization techniques do they use and finally, provide insights about how these systems can be improved in the future.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
